Time,Source,Target,Weight
0.0,0.0,1.0,0.012684134512912282
0.0,0.0,3.0,0.10353455706980771
0.0,0.0,5.0,0.09305386299365132
0.0,0.0,6.0,0.0794341087485872
0.0,0.0,7.0,0.07346995015684724
0.0,0.0,9.0,0.07878813786518511
0.0,1.0,2.0,0.007555654761792402
0.0,1.0,3.0,0.05694504502762979
0.0,1.0,4.0,0.2249970405969999
0.0,1.0,5.0,0.0021138143098613053
0.0,1.0,9.0,0.09365931970166506
0.0,2.0,4.0,0.029114578285604716
0.0,2.0,6.0,0.05795692283773107
0.0,2.0,7.0,0.05460886179897173
0.0,2.0,9.0,0.05470194481333736
0.0,3.0,4.0,0.11775496163144185
0.0,3.0,5.0,0.20869795743574088
0.0,3.0,7.0,0.02903475917693156
0.0,3.0,8.0,0.021756673249888808
0.0,3.0,9.0,0.014877138049208477
0.0,4.0,6.0,0.09499122123850648
0.0,4.0,7.0,0.06989204342524087
0.0,4.0,8.0,0.02118016946082721
0.0,4.0,9.0,0.15421391547476285
0.0,5.0,7.0,0.03113894740304642
0.0,5.0,8.0,0.05102328033017517
0.0,5.0,9.0,0.015234820840169212
0.0,6.0,7.0,0.17538197603474998
0.0,6.0,8.0,0.09317173305017816
0.0,7.0,8.0,0.07637813232854482
0.0,7.0,9.0,0.023513688344013274
0.0,8.0,9.0,0.07503800084913508
1.0,0.0,1.0,0.15096003552978476
1.0,0.0,3.0,0.20493664651712779
1.0,0.0,4.0,0.25469448676260276
1.0,0.0,5.0,0.009105006995407925
1.0,1.0,2.0,0.04328957814078167
1.0,1.0,3.0,0.18531905163514745
1.0,1.0,4.0,0.12847105754514418
1.0,1.0,5.0,0.08999252581976791
1.0,1.0,6.0,0.12316737704967874
1.0,1.0,7.0,0.05710727822761554
1.0,1.0,9.0,0.05726853475774741
1.0,2.0,4.0,0.03931492292086278
1.0,2.0,5.0,0.17243214702241977
1.0,2.0,6.0,0.21000206901506863
1.0,2.0,7.0,0.029935230047630358
1.0,3.0,4.0,0.03701571230626646
1.0,3.0,6.0,0.018047795200409104
1.0,3.0,9.0,0.03964251707065514
1.0,4.0,5.0,0.11062517875952485
1.0,4.0,7.0,0.0030098151823156997
1.0,4.0,8.0,0.12055108786863039
1.0,4.0,9.0,0.048172325559676564
1.0,5.0,9.0,0.10742397781028583
1.0,6.0,8.0,0.07733077077732912
1.0,7.0,8.0,0.06071675813873969
2.0,0.0,1.0,0.04120255168829502
2.0,0.0,3.0,0.06358543053409474
2.0,0.0,7.0,0.062080432065055494
2.0,0.0,8.0,0.1201336534288469
